,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
11541,11541,4.0,0.3838,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'cream', 'crop', 'leg', 'room', 'an', 'rating']"
11542,11542,3.0,0.3689,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['equipment', 'change', 'aircraft', 'seating', 'seat', 'seat', 'seat', 'cabin', 'room', 'stretch', 'leg', 'storage', 'space', 'seat', 'seat', 'landing', 'position', 'knee', 'time', 'position', 'seat', 'outlet', 'use', 'seat', 'doubt', 'business', 'class', 'ticket', 'aircraft', 'seat', 'aircraft', 'seat', 'aisle', 'width', 'mine']"
11543,11543,3.0,0.437,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['premium', 'economy', 'section', 'roundtrip', 'flight', 'flight', 'attendant', 'blanket', 'section', 'configuration', 'use', 'restroom', 'plane', 'way', 'plane', 'attendant', 'cart', 'aisle', 'neck', 'restroom']"
11544,11544,4.0,0.4655,"row, leg, room, window, plane, space, exit, side, front, door","['leg', 'room', 'row', 'seat', 'exit', 'row', 'stretch', 'leg', 'seat', 'people', 'row', 'transit', 'aisle', 'length', 'plane']"
11545,11545,4.0,0.3649,"row, leg, room, window, plane, space, exit, side, front, door","['plane', 'configuration', 'mistake', 'window', 'seat', 'sort', 'inch', 'aisle', 'knee', 'trouble', 'seat', 'time', 'head', 'time', 'space', 'scoot', 'duck', 'seat', 'drink', 'entrance', 'tray', 'seat', 'direction', 'seat', 'control', 'seat', 'reading_light', 'head', 'work', 'work', 'shadow', 'side', 'light', 'shoulder', 'seat', 'position', 'cocoon', 'style', 'edge', 'hazard', 'emergency', 'scoot', 'seat', 'odd_number', 'window', 'seat', 'side', 'upgrade', 'farce', 'service', 'plane', 'seat']"
11546,11546,3.0,0.416,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seating', 'side', 'entry', 'wife', 'side', 'aircraft', 'window', 'seat', 'touch', 'screen', 'tv', 'wand', 'control', 'tv', 'play', 'game', 'comment', 'seating', 'issue', 'mobility', 'knee', 'amputee', 'seat', 'seat', 'challenge', 'odd_number', 'shuffle', 'seat', 'mobility', 'issue', 'seat', 'aisle', 'access']"
11547,11547,3.0,0.3355,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['storage', 'book', 'seat', 'wxonomy']"
11548,11548,4.0,0.4475,"row, leg, room, window, plane, space, exit, side, front, door","['return', 'economy', 'seat', 'plane', 'leg', 'room', 'equipment', 'panel', 'access', 'row', 'seat', 'storage', 'panel', 'seat', 'seat', 'exit', 'row', 'seat', 'exit', 'row', 'row', 'crew', 'rest', 'area', 'drape', 'curtain', 'row', 'seat', 'curtain', 'problem']"
11549,11549,3.0,0.3959,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['way', 'seat', 'cushion', 'folder', 'half', 'pillow', 'flight', 'butt', 'seat', 'cushion', 'center', 'effect', 'seat', 'width', 'bird', 'ergonomic', 'pocket', 'move', 'passenger', 'press', 'screen', 'seat', 'seat', 'aisle', 'boarding', 'crew', 'cart', 'seat', 'arm', 'seat', 'anchor', 'floor', 'level', 'flight', 'coach', 'lavatory', 'service', 'cart', 'aisle', 'coach', 'cabin', 'aircraft', 'circumstance', 'economy', 'joke', 'premium', 'economy']"
11550,11550,4.0,0.3876,"row, leg, room, window, plane, space, exit, side, front, door","['leg', 'room', 'air', 'pocket', 'air', 'aircraft', 'bag', 'seat', 'front']"
11551,11551,3.0,0.2971,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'thinking', 'seat', 'aisle', 'flight', 'choose', 'seat', 'sleep']"
11552,11552,4.0,0.47,"row, leg, room, window, plane, space, exit, side, front, door","['exit', 'row', 'seat', 'armrest', 'window', 'side', 'ton', 'exit', 'row', 'aisle', 'aircraft', 'window', 'armrest', 'seat', 'bit', 'legroom', 'ife', 'channel', 'day']"
11553,11553,4.0,0.4065,"row, leg, room, window, plane, space, exit, side, front, door","['exit', 'row', 'economy', 'seat', 'recline', 'side', 'row', 'seat', 'seat', 'business']"
11554,11554,3.0,0.5211,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['bag', 'seat', 'storage', 'equipment', 'overhead', 'storage', 'safety', 'equipment', 'recline']"
11555,11555,3.0,0.4001,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['leg', 'room', 'seat', 'tv', 'screen', 'floor', 'storage', 'seat', 'future']"
11556,11556,4.0,0.3539,"row, leg, room, window, plane, space, exit, side, front, door","['plane', 'time', 'reviewer', 'business', 'class', 'seat', 'avod', 'hour', 'flight', 'row', 'foot', 'kl', 'couple', 'aisle', 'seat', 'galley', 'noise', 'light', 'problem', 'seat', 'row', 'caution', 'ipad', 'phone', 'shelf', 'plane', 'fall', 'floor', 'wind', 'seat', 'seat', 'phone', 'fall', 'seat', 'retrieve', 'seat', 'phone', 'shelf', 'shoulder', 'luggage']"
11557,11557,4.0,0.3089,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'thinking', 'one', 'size', 'seat', 'side', 'man', 'night', 'flight']"
11558,11558,3.0,0.3587,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline",['recline']
11559,11559,3.0,0.3513,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['middle', 'storage', 'screen', 'bed', 'seat', 'seat', 'plane', 'bag', 'aisle']"
11560,11560,3.0,0.428,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['use', 'crew', 'leg', 'rest', 'recline', 'ton', 'bulkhead', 'location']"
11561,11561,3.0,0.3693,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['location', 'galley', 'problem', 'crew', 'flight', 'sleep']"
11562,11562,3.0,0.3719,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['seat', 'protuberance', 'cocoon', 'seat', 'front', 'row', 'position', 'addition', 'distance', 'pitch', 'armrest', 'seat', 'row', 'access', 'file', 'person', 'headphone', 'lot', 'workout', 'reach', 'charger', 'headphone', 'plug', 'flight', 'access', 'aisle', 'window', 'seat', 'person', 'version', 'position', 'space', 'move', 'class', 'seat', 'airline', 'configuration', 'way', 'design', 'row', 'access', 'aisle', 'person', 'move']"
11563,11563,4.0,0.412,"row, leg, room, window, plane, space, exit, side, front, door","['flight', 'crew', 'rest', 'seat', 'passenger', 'animal', 'economy', 'product', 'carrier', 'economy', 'seat', 'class', 'seat', 'leg', 'version', 'recliner', 'business', 'drawback', 'equipment', 'box', 'block', 'space', 'row', 'front', 'row', 'economy', 'bit', 'leg', 'row', 'store', 'leg', 'room', 'row', 'story', 'seat', 'average_height', 'legroom', 'bulkhead', 'seat']"
11564,11564,4.0,0.3864,"row, leg, room, window, plane, space, exit, side, front, door","['row', 'ton', 'space', 'crew', 'crew', 'curtain', 'row', 'sort', 'leg', 'row', 'seat', 'seatmate', 'ton', 'space', 'course', 'seat', 'seat', 'flight', 'cost', 'middle', 'row', 'seat', 'bed', 'flight', 'i', 'seat']"
11565,11565,4.0,0.4201,"row, leg, room, window, plane, space, exit, side, front, door","['economy', 'aisle', 'seat', 'lot', 'leg', 'room', 'passenger', 'row', 'row', 'seat', 'crew', 'rest', 'seat', 'seat', 'guru', 'comment', 'storage', 'seat', 'exit', 'row', 'seating', 'window', 'seat', 'window', 'seat', 'seat', 'bulkhead', 'return', 'aircraft', 'row', 'bulkhead']"
11566,11566,4.0,0.4445,"row, leg, room, window, plane, space, exit, side, front, door","['seat', 'window', 'leg', 'room', 'seat']"
11567,11567,4.0,0.4341,"row, leg, room, window, plane, space, exit, side, front, door","['lot', 'leg', 'room', 'exit', 'row', 'coach', 'person', 'seat', 'side']"
11568,11568,4.0,0.3577,"row, leg, room, window, plane, space, exit, side, front, door","['side', 'level', 'seat', 'bed', 'people', 'shoulder', 'armrest', 'window', 'seat']"
